component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
长安新生内部员工贷款车辆需要安装GPS吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpjun6xbqq.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:08:59.175367
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpullv7e96.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:09:27.292879
根据知识库回答问题,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpy5gmxli4.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:09:46.589332
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpe7lxgrd3.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:10:06.285778
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp91_wnt82.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:10:57.900758
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp8gayz98n.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:11:09.947929
长安新生内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpkhci7t57.json,知识库测试,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:14:32.814151
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpdfpusbw7.json,知识库测试,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:14:52.656910
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpmjtq7a1i.json,知识库测试,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:15:03.569319
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpvmf1to60.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:15:18.518820
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp_ulytszs.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:15:35.823871
长安新生内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpmq0ci4yc.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:16:48.179949
长安新生内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpyla7mumw.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:16:51.014586
新生二手车贷款的最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpjl0u905q.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:22:53.505583
长安新生二手车最低首付比例,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpm9k4_589.json,知识库问答,,e7538433d9334161bd9f3ce52edb7842,2023-07-24 13:18:40.625303
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp4rh7kst6.json,知识库问答,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:20:56.524478
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpi4qwp8md.json,知识库测试,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:21:17.784161
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpa1uzq2p4.json,知识库测试,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:21:33.544717
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpk3aggz4u.json,知识库测试,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:21:45.154779
